title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
T3582/2024,Dunkirk Estate,DUNKIRK ESTATE,182,0,,,Dunkirk Estate,Toleda,182,2023-09-25,2024-02-21,4100000,405,10123,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST3078/2024,Dunkirk Estate,DUNKIRK ESTATE,20,0,SS THE BLOK,2,Dunkirk Estate,Hillside,20,2023-11-29,2024-02-14,5800000,339,17109,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T2939/2024,Dunkirk Estate,DUNKIRK ESTATE,16,0,,,Dunkirk Estate,Hillside,16,,2024-02-13,0,1424,0,False,natural_person,natural_person,1,freehold,False,lightstone_export
ST2282/2024,Dunkirk Estate,DUNKIRK ESTATE,180,0,SS THE GLADES,17,Dunkirk Estate,,,2023-10-25,2024-02-05,3300000,134,24626,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T36731/2023,Dunkirk Estate,DUNKIRK ESTATE,10,0,,,Dunkirk Estate,Hillside,10,2023-09-02,2023-12-19,6700000,1209,5541,False,legal_entity,natural_person,1,freehold,True,lightstone_export
ST35182/2023,Dunkirk Estate,DUNKIRK ESTATE,96,0,SS SANDWOOD HILLS,4,Dunkirk Estate,Sameja,96,2023-08-24,2023-12-05,4250000,209,20334,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T33880/2023,Dunkirk Estate,DUNKIRK ESTATE,34,0,,,Dunkirk Estate,Boundary,34,2023-09-10,2023-11-27,8600000,1200,7166,False,natural_person,natural_person,1,freehold,True,lightstone_export
T33891/2023,Dunkirk Estate,DUNKIRK ESTATE,28,0,,,Dunkirk Estate,Boundary,28,2023-08-22,2023-11-27,5150000,1142,4509,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST27884/2023,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,11,Dunkirk Estate,,,2023-08-12,2023-10-02,2600000,113,23008,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST27636/2023,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,9,Dunkirk Estate,,,2023-06-26,2023-09-28,2750000,113,24336,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T26943/2023,Dunkirk Estate,DUNKIRK ESTATE,190,0,,,Dunkirk Estate,Toleda,190,2023-05-03,2023-09-20,4500000,523,8604,False,natural_person,natural_person,2,freehold,True,lightstone_export
T24502/2023,Dunkirk Estate,DUNKIRK ESTATE,123,0,,,Dunkirk Estate,Sameja,123,2023-04-30,2023-08-28,9300000,1182,7868,False,legal_entity,natural_person,1,freehold,True,lightstone_export
ST24432/2023,Dunkirk Estate,DUNKIRK ESTATE,96,0,SS SANDWOOD HILLS,21,Dunkirk Estate,Sameja,96,2023-05-21,2023-08-25,5400000,399,13533,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T22554/2023,Dunkirk Estate,DUNKIRK ESTATE,154,0,,,Dunkirk Estate,Ashwood,3,2022-09-26,2023-08-10,3700000,405,9135,False,natural_person,natural_person,1,freehold,True,lightstone_export
ST21892/2023,Dunkirk Estate,DUNKIRK ESTATE,180,0,SS THE GLADES,4,Dunkirk Estate,,,2023-05-11,2023-08-01,3200000,266,12030,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T15352/2023,Dunkirk Estate,DUNKIRK ESTATE,83,0,,,Dunkirk Estate,Sameja,83,2023-04-13,2023-06-06,9100000,980,9285,False,legal_entity,natural_person,1,freehold,True,lightstone_export
T15159/2023,Dunkirk Estate,DUNKIRK ESTATE,155,0,,,Dunkirk Estate,Ashwood,4,,2023-06-05,0,411,0,False,natural_person,natural_person,1,freehold,False,lightstone_export
T14777/2023,Dunkirk Estate,DUNKIRK ESTATE,104,0,,,Dunkirk Estate,Sameja,104,2022-11-08,2023-05-31,5600000,1064,5263,False,natural_person,natural_person,2,freehold,True,lightstone_export
ST14697/2023,Dunkirk Estate,DUNKIRK ESTATE,22,0,SS EDGE VIEW,1,Dunkirk Estate,Hillside,22,2022-11-29,2023-05-31,5700000,281,20284,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST14697/2023,Dunkirk Estate,DUNKIRK ESTATE,22,0,SS EDGE VIEW,6,Dunkirk Estate,Hillside,22,2022-11-29,2023-05-31,5700000,44,129545,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST12700/2023,Dunkirk Estate,DUNKIRK ESTATE,208,0,SS SAXONWOOD,6,Dunkirk Estate,,,2023-01-31,2023-05-15,8912500,435,20488,False,legal_entity,legal_entity,1,sectional_title,True,lightstone_export
ST11585/2023,Dunkirk Estate,DUNKIRK ESTATE,96,0,SS SANDWOOD HILLS,1,Dunkirk Estate,Sameja,96,2023-01-16,2023-05-05,3300000,230,14347,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
T9511/2023,Dunkirk Estate,DUNKIRK ESTATE,19,0,,,Dunkirk Estate,,,2022-08-17,2023-04-20,8000000,1334,5997,False,legal_entity,natural_person,1,freehold,True,lightstone_export
T7316/2023,Dunkirk Estate,DUNKIRK ESTATE,120,0,,,Dunkirk Estate,Sameja,119,2023-01-31,2023-03-31,7300000,1523,4793,False,natural_person,natural_person,3,freehold,True,lightstone_export
ST7418/2023,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,17,Dunkirk Estate,,,2022-11-21,2023-03-31,2800000,113,24778,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST7418/2023,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,52,Dunkirk Estate,,,2022-11-21,2023-03-31,2800000,18,155555,False,legal_entity,natural_person,1,sectional_title,True,lightstone_export
ST2875/2023,Dunkirk Estate,DUNKIRK ESTATE,29,0,SS THE RIDGE,1,Dunkirk Estate,Boundary,29,2022-12-12,2023-02-10,4350000,169,25739,False,natural_person,natural_person,2,sectional_title,True,lightstone_export
T46665/2022,Dunkirk Estate,DUNKIRK ESTATE,163,0,,,Dunkirk Estate,Ashwood,12,2022-07-14,2022-12-22,4250000,563,7548,False,natural_person,legal_entity,2,freehold,True,lightstone_export
ST45872/2022,Dunkirk Estate,DUNKIRK ESTATE,21,0,SS THE DUEX,4,Dunkirk Estate,Hillside,21,2022-09-02,2022-12-19,5950000,355,16760,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
ST45434/2022,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,8,Dunkirk Estate,,,2022-09-06,2022-12-15,2650000,113,23451,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST45434/2022,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,54,Dunkirk Estate,,,2022-09-06,2022-12-15,2650000,18,147222,False,natural_person,legal_entity,1,sectional_title,True,lightstone_export
ST45427/2022,Dunkirk Estate,DUNKIRK ESTATE,21,0,SS THE DUEX,2,Dunkirk Estate,Hillside,21,2022-03-31,2022-12-15,5800000,355,16338,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
ST43175/2022,Dunkirk Estate,DUNKIRK ESTATE,96,0,SS SANDWOOD HILLS,1,Dunkirk Estate,Sameja,96,2022-03-23,2022-12-01,1592500,230,6923,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
ST40020/2022,Dunkirk Estate,DUNKIRK ESTATE,21,0,SS THE DUEX,1,Dunkirk Estate,Hillside,21,,2022-11-08,0,355,0,False,legal_entity,,1,sectional_title,False,lightstone_export
